image,noise
100.bmp,0
101.bmp,0
102.bmp,0
103.bmp,0
104.bmp,0
105.bmp,0
106.bmp,0
107.bmp,0
108.bmp,0
109.bmp,0
10.bmp,0
110.bmp,0
111.bmp,0
112.bmp,0
113.bmp,0
114.bmp,0
115.bmp,0
116.bmp,0
117.bmp,0
118.bmp,0
119.bmp,0
11.bmp,0
120.bmp,0
121.bmp,0
122.bmp,0
123.bmp,0
124.bmp,0
125.bmp,0
126.bmp,0
127.bmp,0
128.bmp,0
129.bmp,0
12.bmp,0
130.bmp,0
131.bmp,0
132.bmp,0
133.bmp,0
134.bmp,0
135.bmp,0
136.bmp,0
137.bmp,0
138.bmp,0
139.bmp,0
13.bmp,0
140.bmp,0
141.bmp,0
142.bmp,0
143.bmp,0
144.bmp,0
145.bmp,0
146.bmp,0
147.bmp,0
148.bmp,0
149.bmp,0
14.bmp,0
150.bmp,0
151.bmp,0
152.bmp,0
153.bmp,0
154.bmp,0
155.bmp,0
156.bmp,0
157.bmp,0
158.bmp,0
159.bmp,0
15.bmp,0
160.bmp,0
161.bmp,0
162.bmp,0
163.bmp,0
164.bmp,0
165.bmp,0
166.bmp,0
167.bmp,0
168.bmp,0
169.bmp,0
16.bmp,0
170.bmp,0
171.bmp,0
172.bmp,0
173.bmp,0
174.bmp,0
175.bmp,0
176.bmp,0
177.bmp,0
178.bmp,0
179.bmp,0
17.bmp,0
180.bmp,0
181.bmp,0
182.bmp,0
183.bmp,0
184.bmp,0
185.bmp,0
186.bmp,0
187.bmp,0
188.bmp,0
189.bmp,0
18.bmp,0
190.bmp,0
191.bmp,0
192.bmp,0
193.bmp,0
194.bmp,0
195.bmp,0
196.bmp,0
197.bmp,0
198.bmp,0
199.bmp,0
19.bmp,0
200.bmp,0
201.bmp,0
202.bmp,0
203.bmp,0
204.bmp,0
205.bmp,0
206.bmp,0
207.bmp,0
208.bmp,0
209.bmp,0
20.bmp,0
210.bmp,0
211.bmp,0
212.bmp,0
213.bmp,0
214.bmp,0
215.bmp,0
216.bmp,0
217.bmp,0
218.bmp,0
219.bmp,0
21.bmp,0
220.bmp,0
221.bmp,0
222.bmp,0
223.bmp,0
224.bmp,0
225.bmp,0
226.bmp,0
227.bmp,0
228.bmp,0
229.bmp,0
22.bmp,0
230.bmp,0
231.bmp,0
232.bmp,0
233.bmp,0
234.bmp,0
235.bmp,0
236.bmp,0
237.bmp,0
238.bmp,0
239.bmp,0
23.bmp,0
240.bmp,0
241.bmp,0
242.bmp,0
243.bmp,0
244.bmp,0
245.bmp,0
246.bmp,0
247.bmp,0
248.bmp,0
249.bmp,0
24.bmp,0
250.bmp,0
251.bmp,0
252.bmp,0
253.bmp,0
254.bmp,0
255.bmp,0
256.bmp,0
257.bmp,0
258.bmp,0
259.bmp,0
25.bmp,0
260.bmp,0
261.bmp,0
262.bmp,0
263.bmp,0
264.bmp,0
265.bmp,0
266.bmp,0
267.bmp,0
268.bmp,0
269.bmp,0
26.bmp,0
270.bmp,0
271.bmp,0
272.bmp,0
273.bmp,0
274.bmp,0
275.bmp,0
276.bmp,0
277.bmp,0
278.bmp,0
279.bmp,0
27.bmp,0
280.bmp,0
281.bmp,0
282.bmp,0
283.bmp,0
284.bmp,0
285.bmp,0
286.bmp,0
287.bmp,0
288.bmp,0
289.bmp,0
28.bmp,0
290.bmp,0
291.bmp,0
292.bmp,0
293.bmp,0
294.bmp,0
295.bmp,0
296.bmp,0
297.bmp,0
298.bmp,0
299.bmp,0
29.bmp,0
300.bmp,0
301.bmp,0
302.bmp,0
303.bmp,0
304.bmp,0
305.bmp,0
306.bmp,0
307.bmp,0
308.bmp,0
309.bmp,0
30.bmp,0
310.bmp,0
311.bmp,0
312.bmp,0
313.bmp,0
314.bmp,0
315.bmp,0
316.bmp,0
317.bmp,0
318.bmp,0
319.bmp,0
31.bmp,0
320.bmp,0
321.bmp,0
322.bmp,0
323.bmp,0
324.bmp,0
325.bmp,0
326.bmp,0
327.bmp,0
328.bmp,0
329.bmp,0
32.bmp,0
330.bmp,0
331.bmp,0
332.bmp,0
333.bmp,0
334.bmp,0
335.bmp,0
336.bmp,0
337.bmp,0
338.bmp,0
339.bmp,0
33.bmp,0
340.bmp,0
341.bmp,0
342.bmp,0
343.bmp,0
344.bmp,0
345.bmp,0
346.bmp,0
347.bmp,0
348.bmp,0
349.bmp,0
34.bmp,0
350.bmp,0
351.bmp,0
352.bmp,0
353.bmp,0
354.bmp,0
355.bmp,0
356.bmp,0
357.bmp,0
358.bmp,0
359.bmp,0
35.bmp,0
360.bmp,0
361.bmp,0
362.bmp,0
363.bmp,0
364.bmp,0
365.bmp,0
366.bmp,0
367.bmp,0
368.bmp,0
369.bmp,0
36.bmp,0
370.bmp,0
371.bmp,0
372.bmp,0
373.bmp,0
374.bmp,0
375.bmp,0
376.bmp,0
377.bmp,0
378.bmp,0
379.bmp,0
37.bmp,0
380.bmp,0
381.bmp,0
382.bmp,0
383.bmp,0
384.bmp,0
385.bmp,0
386.bmp,0
387.bmp,0
388.bmp,0
389.bmp,0
38.bmp,0
390.bmp,0
391.bmp,0
392.bmp,0
393.bmp,0
394.bmp,0
395.bmp,0
396.bmp,0
397.bmp,0
398.bmp,0
399.bmp,0
39.bmp,0
3.bmp,0
400.bmp,0
401.bmp,0
402.bmp,0
403.bmp,0
404.bmp,0
405.bmp,0
406.bmp,0
407.bmp,0
408.bmp,0
409.bmp,0
40.bmp,0
410.bmp,0
411.bmp,0
412.bmp,0
413.bmp,0
414.bmp,0
415.bmp,0
416.bmp,0
417.bmp,0
418.bmp,0
419.bmp,0
41.bmp,0
420.bmp,0
421.bmp,0
422.bmp,0
423.bmp,0
424.bmp,0
425.bmp,0
426.bmp,0
427.bmp,0
428.bmp,0
429.bmp,0
42.bmp,0
430.bmp,0
431.bmp,0
432.bmp,0
433.bmp,0
434.bmp,0
435.bmp,0
436.bmp,0
437.bmp,0
438.bmp,0
439.bmp,0
43.bmp,0
440.bmp,0
441.bmp,0
442.bmp,0
443.bmp,0
444.bmp,0
445.bmp,0
446.bmp,0
447.bmp,0
448.bmp,0
449.bmp,0
44.bmp,0
450.bmp,0
451.bmp,0
452.bmp,0
453.bmp,0
454.bmp,0
455.bmp,0
456.bmp,0
457.bmp,0
458.bmp,0
459.bmp,0
45.bmp,0
460.bmp,0
461.bmp,0
462.bmp,0
463.bmp,0
464.bmp,0
465.bmp,0
466.bmp,0
467.bmp,0
468.bmp,0
469.bmp,0
46.bmp,0
470.bmp,0
471.bmp,0
472.bmp,0
473.bmp,0
474.bmp,0
475.bmp,0
476.bmp,0
477.bmp,0
478.bmp,0
479.bmp,0
47.bmp,0
480.bmp,0
481.bmp,0
482.bmp,0
483.bmp,0
484.bmp,0
485.bmp,0
486.bmp,0
487.bmp,0
488.bmp,0
489.bmp,0
48.bmp,0
490.bmp,0
491.bmp,0
492.bmp,0
493.bmp,0
494.bmp,0
495.bmp,0
496.bmp,0
497.bmp,0
498.bmp,0
499.bmp,0
49.bmp,0
4.bmp,0
500.bmp,0
501.bmp,0
502.bmp,0
503.bmp,0
504.bmp,0
505.bmp,0
506.bmp,0
507.bmp,0
508.bmp,0
509.bmp,0
50.bmp,0
510.bmp,0
511.bmp,0
512.bmp,0
513.bmp,0
514.bmp,0
515.bmp,0
516.bmp,0
517.bmp,0
518.bmp,0
519.bmp,0
51.bmp,0
520.bmp,0
521.bmp,0
522.bmp,0
523.bmp,0
524.bmp,0
525.bmp,0
526.bmp,0
527.bmp,0
528.bmp,0
529.bmp,0
52.bmp,0
530.bmp,0
531.bmp,0
532.bmp,0
53.bmp,0
54.bmp,0
55.bmp,0
56.bmp,0
57.bmp,0
58.bmp,0
